,human,machine
3183,15 may 2000,2000-05-15
3184,17 june 1976,1976-06-17
3185,june 9 2002,2002-06-09
3186,22 january 1986,1986-01-22
3187,22 dec 1984,1984-12-22
3188,05 sep 1991,1991-09-05
3189,saturday july 23 2011,2011-07-23
3190,monday november 6 2000,2000-11-06
3191,saturday april 29 1995,1995-04-29
3192,march 9 1973,1973-03-09
3193,26 dec 1989,1989-12-26
3194,march 31 1990,1990-03-31
3195,16 july 1990,1990-07-16
3196,26 april 1999,1999-04-26
3197,tuesday june 15 1993,1993-06-15
3198,tuesday april 4 2000,2000-04-04
3199,1/3/99,1999-01-03
3200,december 16 1988,1988-12-16
3201,tuesday august 14 1990,1990-08-14
3202,saturday june 27 1998,1998-06-27
3203,16 december 2004,2004-12-16
3204,thursday october 12 2006,2006-10-12
3205,11/7/96,1996-11-07
3206,october 7 2015,2015-10-07
3207,9 10 80,1980-10-09
3208,tuesday june 22 2004,2004-06-22
3209,monday november 17 1986,1986-11-17
3210,tuesday september 22 2015,2015-09-22
3211,thursday october 30 2003,2003-10-30
3212,friday october 21 2011,2011-10-21
3213,july 17 2000,2000-07-17
3214,17 april 2013,2013-04-17
3215,11 june 1970,1970-06-11
3216,8/12/03,2003-08-12
3217,24 june 1994,1994-06-24
3218,21 may 2013,2013-05-21
3219,saturday may 9 1987,1987-05-09
3220,10 jun 2010,2010-06-10
3221,26 07 17,2017-07-26
3222,wednesday january 21 1981,1981-01-21
3223,18 10 89,1989-10-18
3224,march 19 1986,1986-03-19
3225,wednesday september 1 2004,2004-09-01
3226,30 nov 1981,1981-11-30
3227,15.02.92,1992-02-15
3228,march 8 1971,1971-03-08
3229,27 09 82,1982-09-27
3230,9 january 2016,2016-01-09
3231,8/15/79,1979-08-15
3232,29 august 2013,2013-08-29
3233,30 nov 1979,1979-11-30
3234,14 06 16,2016-06-14
3235,friday march 31 1989,1989-03-31
3236,8 aug 2007,2007-08-08
3237,august 30 2003,2003-08-30
3238,8 december 1983,1983-12-08
3239,sunday december 19 1971,1971-12-19
3240,24 april 1991,1991-04-24
3241,6 january 1975,1975-01-06
3242,tuesday april 21 1970,1970-04-21
3243,6/2/88,1988-06-02
3244,monday april 2 2001,2001-04-02
3245,wednesday june 28 1989,1989-06-28
3246,monday march 27 1978,1978-03-27
3247,11 feb 2015,2015-02-11
3248,22 12 09,2009-12-22
3249,december 12 2012,2012-12-12
3250,16 mar 1986,1986-03-16
3251,friday january 6 1989,1989-01-06
3252,29 april 2004,2004-04-29
3253,wednesday june 10 1998,1998-06-10
3254,29 nov 1996,1996-11-29
3255,wednesday august 14 2002,2002-08-14
3256,saturday february 8 1992,1992-02-08
3257,march 15 2008,2008-03-15
3258,6 october 1980,1980-10-06
3259,may 21 2001,2001-05-21
3260,26 may 2013,2013-05-26
3261,saturday april 27 1996,1996-04-27
3262,wednesday september 14 2005,2005-09-14
3263,wednesday december 10 1975,1975-12-10
3264,mar 18 1983,1983-03-18
3265,february 19 2013,2013-02-19
3266,2 jan 1984,1984-01-02
3267,5/28/76,1976-05-28
3268,tuesday february 7 1984,1984-02-07
3269,27.08.10,2010-08-27
3270,sunday november 23 2014,2014-11-23
3271,14 09 81,1981-09-14
3272,1 jan 1973,1973-01-01
3273,27 november 1978,1978-11-27
3274,monday may 6 1974,1974-05-06
3275,28 march 1974,1974-03-28
3276,12/23/04,2004-12-23
3277,20 03 74,1974-03-20
3278,july 4 1972,1972-07-04
3279,april 27 1972,1972-04-27
3280,sunday july 19 1998,1998-07-19
3281,21 august 1988,1988-08-21
3282,wednesday april 16 2008,2008-04-16
3283,wednesday october 31 1973,1973-10-31
3284,friday may 12 1989,1989-05-12
3285,friday november 2 1990,1990-11-02
3286,friday april 23 1971,1971-04-23
3287,wednesday june 22 1983,1983-06-22
3288,apr 3 2006,2006-04-03
3289,friday january 31 2003,2003-01-31
3290,december 31 1999,1999-12-31
3291,thursday may 10 1979,1979-05-10
3292,08 jul 1989,1989-07-08
3293,tuesday june 29 1976,1976-06-29
3294,apr 5 1978,1978-04-05
3295,may 19 2013,2013-05-19
3296,20.11.86,1986-11-20
3297,thursday february 24 2005,2005-02-24
3298,tuesday march 25 1986,1986-03-25
3299,april 7 1977,1977-04-07
3300,monday april 23 2007,2007-04-23
3301,friday may 15 1987,1987-05-15
3302,saturday september 16 2006,2006-09-16
3303,tuesday march 16 1993,1993-03-16
3304,tuesday august 2 2011,2011-08-02
3305,september 29 2007,2007-09-29
3306,17 december 1994,1994-12-17
3307,monday january 26 1998,1998-01-26
3308,wednesday november 12 2003,2003-11-12
3309,sunday december 11 1988,1988-12-11
3310,27 03 99,1999-03-27
3311,tuesday march 10 2009,2009-03-10
3312,28 apr 1993,1993-04-28
3313,monday august 10 2015,2015-08-10
3314,sunday january 27 1985,1985-01-27
3315,4 december 1992,1992-12-04
3316,sunday february 16 1997,1997-02-16
3317,6/23/09,2009-06-23
3318,2 january 1994,1994-01-02
3319,19.07.72,1972-07-19
3320,02.12.74,1974-12-02
3321,feb 8 1973,1973-02-08
3322,29.10.76,1976-10-29
3323,12 03 81,1981-03-12
3324,12 sep 1992,1992-09-12
3325,23 mar 2016,2016-03-23
3326,tuesday march 9 1999,1999-03-09
3327,saturday january 30 1993,1993-01-30
3328,mar 14 1974,1974-03-14
3329,28 february 1993,1993-02-28
3330,10/30/86,1986-10-30
3331,4/10/17,2017-04-10
3332,12 april 2000,2000-04-12
3333,thursday july 28 2016,2016-07-28
3334,tuesday february 21 2006,2006-02-21
3335,12 may 1970,1970-05-12
3336,wednesday november 7 1979,1979-11-07
3337,thursday august 7 1997,1997-08-07
3338,may 22 1998,1998-05-22
3339,21 aug 1983,1983-08-21
3340,12 feb 2017,2017-02-12
3341,6 may 1992,1992-05-06
3342,tuesday october 14 2008,2008-10-14
3343,3/19/70,1970-03-19
3344,17 jul 2008,2008-07-17
3345,october 25 1972,1972-10-25
3346,tuesday september 10 1974,1974-09-10
3347,tuesday july 14 2009,2009-07-14
3348,august 24 1994,1994-08-24
3349,tuesday december 15 2009,2009-12-15
3350,wednesday march 12 1980,1980-03-12
3351,may 11 1992,1992-05-11
3352,saturday january 18 1997,1997-01-18
3353,tuesday june 18 2002,2002-06-18
3354,march 28 1980,1980-03-28
3355,february 15 1990,1990-02-15
3356,april 6 2015,2015-04-06
3357,7 january 2012,2012-01-07
3358,11 jun 2005,2005-06-11
3359,saturday march 3 2001,2001-03-03
3360,tuesday august 17 2010,2010-08-17
3361,saturday november 20 1982,1982-11-20
3362,december 16 1977,1977-12-16
3363,30 december 1994,1994-12-30
3364,18 jan 1999,1999-01-18
3365,apr 4 2017,2017-04-04
3366,may 26 2006,2006-05-26
3367,22 08 83,1983-08-22
3368,5 february 2006,2006-02-05
3369,3 january 2014,2014-01-03
3370,15 aug 1998,1998-08-15
3371,monday june 30 1975,1975-06-30
3372,23 dec 1981,1981-12-23
3373,february 14 2014,2014-02-14
3374,sunday april 3 2016,2016-04-03
3375,tuesday october 22 1974,1974-10-22
3376,tuesday january 9 2001,2001-01-09
3377,9/4/77,1977-09-04
3378,13 mar 2009,2009-03-13
3379,saturday july 21 2012,2012-07-21
3380,april 15 1985,1985-04-15
3381,wednesday july 19 1972,1972-07-19
3382,thursday october 23 1980,1980-10-23
3383,8 nov 1975,1975-11-08
3384,14 september 1996,1996-09-14
3385,31 july 2010,2010-07-31
3386,2 jul 1981,1981-07-02
3387,tuesday march 8 2016,2016-03-08
3388,sunday october 14 2012,2012-10-14
3389,5 04 03,2003-04-05
3390,tuesday september 29 1981,1981-09-29
3391,3 march 2009,2009-03-03
3392,26 sep 1983,1983-09-26
3393,nov 28 2002,2002-11-28
3394,friday december 23 1994,1994-12-23
3395,9 october 1989,1989-10-09
3396,nov 8 1970,1970-11-08
3397,jul 19 1992,1992-07-19
3398,24 03 77,1977-03-24
3399,23 01 08,2008-01-23
3400,14 march 1994,1994-03-14
3401,09.06.97,1997-06-09
3402,december 23 2017,2017-12-23
3403,april 17 1998,1998-04-17
3404,31.12.05,2005-12-31
3405,26 june 2009,2009-06-26
3406,november 28 2002,2002-11-28
3407,wednesday april 19 2017,2017-04-19
3408,thursday august 24 1972,1972-08-24
3409,tuesday january 25 1983,1983-01-25
3410,29 jul 1975,1975-07-29
3411,31 mar 1995,1995-03-31
3412,12 may 1983,1983-05-12
3413,03.03.89,1989-03-03
3414,thursday april 16 2009,2009-04-16
3415,december 22 1976,1976-12-22
3416,april 24 2015,2015-04-24
3417,15 06 86,1986-06-15
3418,thursday july 7 2011,2011-07-07
3419,12 nov 1973,1973-11-12
3420,30 oct 2009,2009-10-30
3421,jun 7 1988,1988-06-07
3422,saturday december 13 2008,2008-12-13
3423,mar 12 1976,1976-03-12
3424,january 16 2003,2003-01-16
3425,thursday march 3 1988,1988-03-03
3426,thursday march 28 1985,1985-03-28
3427,sunday august 28 2011,2011-08-28
3428,12 aug 2009,2009-08-12
3429,29 november 2015,2015-11-29
3430,2 apr 1992,1992-04-02
3431,6/8/09,2009-06-08
3432,29 june 2010,2010-06-29
3433,9/3/74,1974-09-03
3434,thursday october 30 2008,2008-10-30
3435,may 12 1991,1991-05-12
3436,15 sep 1974,1974-09-15
3437,saturday october 12 1996,1996-10-12
3438,27 june 2009,2009-06-27
3439,21 january 1975,1975-01-21
3440,february 14 2000,2000-02-14
3441,wednesday november 21 1990,1990-11-21
3442,march 11 1979,1979-03-11
3443,11.12.92,1992-12-11
3444,29 jun 2008,2008-06-29
3445,26 august 2006,2006-08-26
3446,3 09 90,1990-09-03
3447,21 september 2003,2003-09-21
3448,nov 9 1973,1973-11-09
3449,august 6 1983,1983-08-06
3450,28 03 81,1981-03-28
3451,wednesday may 4 1994,1994-05-04
3452,14.03.00,2000-03-14
3453,10/19/99,1999-10-19
3454,monday february 9 1976,1976-02-09
3455,tuesday october 7 1986,1986-10-07
3456,sunday march 16 1980,1980-03-16
3457,february 11 1994,1994-02-11
3458,friday december 15 1995,1995-12-15
3459,thursday may 11 2017,2017-05-11
3460,thursday april 19 2007,2007-04-19
3461,sunday january 14 1973,1973-01-14
3462,tuesday november 4 1997,1997-11-04
3463,tuesday november 18 2003,2003-11-18
3464,thursday july 30 2009,2009-07-30
3465,aug 16 2004,2004-08-16
3466,13 sep 1985,1985-09-13
3467,20 02 70,1970-02-20
3468,1 aug 2001,2001-08-01
3469,16.12.08,2008-12-16
3470,saturday may 16 1992,1992-05-16
3471,30.01.08,2008-01-30
3472,friday december 21 2007,2007-12-21
3473,sunday january 13 2002,2002-01-13
3474,june 29 1993,1993-06-29
3475,january 2 2003,2003-01-02
3476,thursday april 10 2003,2003-04-10
3477,21 feb 1994,1994-02-21
3478,february 4 1994,1994-02-04
3479,monday september 8 1986,1986-09-08
3480,24 november 1997,1997-11-24
3481,july 15 1978,1978-07-15
3482,monday july 10 2006,2006-07-10
3483,wednesday november 14 1979,1979-11-14
3484,14 oct 2010,2010-10-14
3485,tuesday july 17 1979,1979-07-17
3486,saturday december 22 2001,2001-12-22
3487,november 26 1984,1984-11-26
3488,may 13 1999,1999-05-13
3489,7/1/97,1997-07-01
3490,16 oct 1972,1972-10-16
3491,sunday november 24 2013,2013-11-24
3492,30 october 1992,1992-10-30
3493,sunday february 1 2004,2004-02-01
3494,thursday august 5 2004,2004-08-05
3495,12 may 1979,1979-05-12
3496,30 mar 1975,1975-03-30
3497,30 nov 1993,1993-11-30
3498,thursday october 26 1995,1995-10-26
3499,11 jan 1978,1978-01-11
3500,sunday november 18 1973,1973-11-18
3501,3 may 1973,1973-05-03
3502,sunday november 18 2001,2001-11-18
3503,sunday november 21 1971,1971-11-21
3504,18.06.03,2003-06-18
3505,thursday january 15 1998,1998-01-15
3506,tuesday january 19 2010,2010-01-19
3507,27 feb 2004,2004-02-27
3508,sunday may 31 1981,1981-05-31
3509,10 nov 2002,2002-11-10
3510,friday september 7 1979,1979-09-07
3511,friday march 21 2003,2003-03-21
3512,saturday february 28 1976,1976-02-28
3513,sunday february 28 1982,1982-02-28
3514,21 december 2010,2010-12-21
3515,august 22 1987,1987-08-22
3516,22 02 94,1994-02-22
3517,dec 28 2008,2008-12-28
3518,monday october 3 1977,1977-10-03
3519,october 16 1985,1985-10-16
3520,17 apr 2013,2013-04-17
3521,10 april 2004,2004-04-10
3522,tuesday september 11 2007,2007-09-11
3523,10 jan 1974,1974-01-10
3524,june 9 2012,2012-06-09
3525,tuesday august 15 1978,1978-08-15
3526,wednesday february 5 1992,1992-02-05
3527,15 apr 1972,1972-04-15
3528,14 06 05,2005-06-14
3529,27 october 1999,1999-10-27
3530,20 may 2007,2007-05-20
3531,30 12 80,1980-12-30
3532,april 19 1979,1979-04-19
3533,may 25 1975,1975-05-25
3534,sunday february 3 1974,1974-02-03
3535,august 28 1975,1975-08-28
3536,04 may 2006,2006-05-04
3537,16 april 2003,2003-04-16
3538,01 mar 1996,1996-03-01
3539,8 july 2007,2007-07-08
3540,monday january 7 2008,2008-01-07
3541,saturday march 11 2017,2017-03-11
3542,20 november 1988,1988-11-20
3543,saturday june 28 2003,2003-06-28
3544,monday july 19 2010,2010-07-19
3545,sunday march 22 1998,1998-03-22
3546,17 01 74,1974-01-17
3547,thursday january 28 1988,1988-01-28
3548,sunday december 27 1981,1981-12-27
3549,12 june 2001,2001-06-12
3550,07 nov 1996,1996-11-07
3551,18 11 92,1992-11-18
3552,sunday june 9 2002,2002-06-09
3553,monday december 10 2001,2001-12-10
3554,20 07 04,2004-07-20
3555,friday july 8 1977,1977-07-08
3556,6 aug 2009,2009-08-06
3557,01 apr 1974,1974-04-01
3558,05.11.95,1995-11-05
3559,thursday july 27 2000,2000-07-27
3560,tuesday december 22 2009,2009-12-22
3561,7/1/09,2009-07-01
3562,sunday may 11 2014,2014-05-11
3563,wednesday june 4 2008,2008-06-04
3564,sunday october 18 2009,2009-10-18
3565,thursday may 18 2006,2006-05-18
3566,dec 22 2016,2016-12-22
3567,31 october 2015,2015-10-31
3568,4/16/75,1975-04-16
3569,21.10.83,1983-10-21
3570,17 mar 1974,1974-03-17
3571,december 6 1977,1977-12-06
3572,5/1/98,1998-05-01
3573,december 4 2002,2002-12-04
3574,monday september 24 1990,1990-09-24
3575,thursday july 27 1989,1989-07-27
3576,sunday september 7 1975,1975-09-07
3577,22 september 2008,2008-09-22
3578,friday july 31 1992,1992-07-31
3579,july 2 1997,1997-07-02
3580,december 9 1972,1972-12-09
3581,4/9/15,2015-04-09
3582,monday december 3 2007,2007-12-03
3583,friday may 26 1978,1978-05-26
3584,july 19 1994,1994-07-19
3585,3 may 1970,1970-05-03
3586,sunday may 2 2004,2004-05-02
3587,18 feb 1980,1980-02-18
3588,27 july 1997,1997-07-27
3589,thursday november 25 1993,1993-11-25
3590,18 august 1980,1980-08-18
3591,tuesday june 8 1993,1993-06-08
3592,3 oct 1992,1992-10-03
3593,18 sep 2003,2003-09-18
3594,12 sep 1985,1985-09-12
3595,dec 28 2002,2002-12-28
3596,thursday june 17 1976,1976-06-17
3597,jun 19 1976,1976-06-19
3598,sunday october 14 1990,1990-10-14
3599,april 7 1984,1984-04-07
3600,8 12 84,1984-12-08
3601,june 22 1987,1987-06-22
3602,saturday may 3 1986,1986-05-03
3603,11 november 2016,2016-11-11
3604,19 february 1985,1985-02-19
3605,6/14/17,2017-06-14
3606,08.12.98,1998-12-08
3607,wednesday june 7 2006,2006-06-07
3608,thursday june 14 2007,2007-06-14
3609,tuesday august 8 2017,2017-08-08
3610,thursday september 29 1988,1988-09-29
3611,friday october 25 2013,2013-10-25
3612,monday march 6 1972,1972-03-06
3613,07.06.16,2016-06-07
3614,sunday may 27 1984,1984-05-27
3615,saturday may 10 2003,2003-05-10
3616,june 1 1999,1999-06-01
3617,23 march 1998,1998-03-23
3618,23 mar 1980,1980-03-23
3619,tuesday september 20 2005,2005-09-20
3620,5 03 89,1989-03-05
3621,july 21 1975,1975-07-21
3622,saturday september 29 2001,2001-09-29
3623,wednesday november 16 2005,2005-11-16
3624,tuesday july 17 2007,2007-07-17
3625,17 feb 2013,2013-02-17
3626,17 jun 1995,1995-06-17
3627,20.12.84,1984-12-20
3628,wednesday march 20 2013,2013-03-20
3629,june 3 1982,1982-06-03
3630,7 07 00,2000-07-07
3631,2 september 1989,1989-09-02
3632,thursday december 9 1999,1999-12-09
3633,wednesday january 24 1973,1973-01-24
3634,october 25 1989,1989-10-25
3635,wednesday april 6 1983,1983-04-06
3636,may 29 2011,2011-05-29
3637,thursday february 7 2002,2002-02-07
3638,friday july 5 1991,1991-07-05
3639,29 may 2006,2006-05-29
3640,may 26 2013,2013-05-26
3641,january 24 2003,2003-01-24
3642,1/31/87,1987-01-31
3643,september 28 1979,1979-09-28
3644,saturday october 16 1993,1993-10-16
3645,february 25 1979,1979-02-25
3646,20 june 1989,1989-06-20
3647,11 july 2015,2015-07-11
3648,september 14 2011,2011-09-14
3649,2/11/90,1990-02-11
3650,30 may 1997,1997-05-30
3651,25 aug 1980,1980-08-25
3652,saturday december 3 2016,2016-12-03
3653,15 may 2008,2008-05-15
3654,20 december 1997,1997-12-20
3655,tuesday march 28 1989,1989-03-28
3656,02.03.78,1978-03-02
3657,2 apr 1970,1970-04-02
3658,january 3 1986,1986-01-03
3659,10/20/87,1987-10-20
3660,20 mar 1973,1973-03-20
3661,august 9 1981,1981-08-09
3662,8/20/01,2001-08-20
3663,may 28 2004,2004-05-28
3664,20 06 79,1979-06-20
3665,11/20/06,2006-11-20
3666,18 dec 1976,1976-12-18
3667,2 november 2007,2007-11-02
3668,30 march 2011,2011-03-30
3669,sunday october 12 2003,2003-10-12
3670,4 aug 2011,2011-08-04
3671,20 apr 1981,1981-04-20
3672,monday february 11 2002,2002-02-11
3673,29 02 84,1984-02-29
3674,march 14 1992,1992-03-14
3675,sunday march 14 1982,1982-03-14
3676,17 feb 1971,1971-02-17
3677,january 24 2012,2012-01-24
3678,march 9 1976,1976-03-09
3679,15 02 86,1986-02-15
3680,13 feb 1982,1982-02-13
3681,saturday april 29 1978,1978-04-29
3682,tuesday march 24 2015,2015-03-24
3683,10 feb 2013,2013-02-10
3684,friday april 27 1979,1979-04-27
3685,friday july 15 2011,2011-07-15
3686,19 nov 1970,1970-11-19
3687,january 21 1980,1980-01-21
3688,31 august 2016,2016-08-31
3689,june 2 2004,2004-06-02
3690,26 12 13,2013-12-26
3691,3/19/81,1981-03-19
3692,11 july 2005,2005-07-11
3693,february 13 2015,2015-02-13
3694,19 oct 1975,1975-10-19
3695,monday june 18 2001,2001-06-18
3696,14 march 1985,1985-03-14
3697,28 june 1985,1985-06-28
3698,16 august 2010,2010-08-16
3699,feb 22 1993,1993-02-22
3700,sunday may 12 1985,1985-05-12
3701,friday april 22 1988,1988-04-22
3702,friday may 12 1972,1972-05-12
3703,wednesday september 25 1996,1996-09-25
3704,july 25 1977,1977-07-25
3705,sunday may 6 1979,1979-05-06
3706,12 sep 1976,1976-09-12
3707,wednesday september 15 1971,1971-09-15
3708,saturday january 15 1977,1977-01-15
3709,saturday may 28 1988,1988-05-28
3710,12 jan 1971,1971-01-12
3711,may 30 1979,1979-05-30
3712,6 may 2006,2006-05-06
3713,sunday november 24 1974,1974-11-24
3714,4 02 78,1978-02-04
3715,7/14/85,1985-07-14
3716,saturday january 23 1971,1971-01-23
3717,may 10 2005,2005-05-10
3718,5 08 10,2010-08-05
3719,monday february 6 2012,2012-02-06
3720,april 29 1973,1973-04-29
3721,5/5/83,1983-05-05
3722,21 01 99,1999-01-21
3723,saturday april 1 1972,1972-04-01
3724,march 17 1971,1971-03-17
3725,sunday july 22 1979,1979-07-22
3726,23 august 2000,2000-08-23
3727,jul 8 2012,2012-07-08
3728,monday november 30 1987,1987-11-30
3729,sunday january 28 2001,2001-01-28
3730,wednesday september 10 1980,1980-09-10
3731,july 18 1981,1981-07-18
3732,july 10 2002,2002-07-10
3733,3 07 99,1999-07-03
3734,oct 29 2009,2009-10-29
3735,july 21 1978,1978-07-21
3736,2/27/01,2001-02-27
3737,7/13/96,1996-07-13
3738,19 08 94,1994-08-19
3739,20 nov 1986,1986-11-20
3740,jan 12 1982,1982-01-12
3741,thursday december 28 1989,1989-12-28
3742,9/22/83,1983-09-22
3743,friday november 19 1976,1976-11-19
3744,sunday june 6 1993,1993-06-06
3745,friday may 23 2014,2014-05-23
3746,october 31 1976,1976-10-31
3747,11 jun 1976,1976-06-11
3748,16 jul 2000,2000-07-16
3749,10/14/86,1986-10-14
3750,monday may 6 2002,2002-05-06
3751,may 10 1994,1994-05-10
3752,thursday may 31 2012,2012-05-31
3753,wednesday march 28 1984,1984-03-28
3754,friday april 19 1985,1985-04-19
3755,november 25 1986,1986-11-25
3756,wednesday july 9 1975,1975-07-09
3757,february 9 1972,1972-02-09
3758,sunday march 1 1987,1987-03-01
3759,19 december 1973,1973-12-19
3760,7 may 2003,2003-05-07
3761,saturday august 1 1970,1970-08-01
3762,thursday january 2 1997,1997-01-02
3763,29 september 1973,1973-09-29
3764,friday june 18 2010,2010-06-18
3765,26.08.88,1988-08-26
3766,7 aug 1982,1982-08-07
3767,9 may 2009,2009-05-09
3768,26 june 1991,1991-06-26
3769,7 june 2008,2008-06-07
3770,thursday july 12 2012,2012-07-12
3771,november 18 2008,2008-11-18
3772,21 may 1973,1973-05-21
3773,20 sep 2001,2001-09-20
3774,thursday january 3 1974,1974-01-03
3775,20 february 2011,2011-02-20
3776,18 september 1979,1979-09-18
3777,tuesday october 15 2002,2002-10-15
3778,11 may 1999,1999-05-11
3779,5/18/13,2013-05-18
3780,wednesday january 29 1997,1997-01-29
3781,sunday march 28 2010,2010-03-28
3782,06.08.80,1980-08-06
3783,saturday may 16 1970,1970-05-16
3784,mar 2 1984,1984-03-02
3785,wednesday may 20 1992,1992-05-20
3786,23 may 1978,1978-05-23
3787,sunday march 15 1970,1970-03-15
3788,jul 20 1996,1996-07-20
3789,2/28/12,2012-02-28
3790,sunday july 13 2003,2003-07-13
3791,april 6 1996,1996-04-06
3792,24 oct 1998,1998-10-24
3793,27 sep 1997,1997-09-27
3794,december 12 2016,2016-12-12
3795,30 may 1987,1987-05-30
3796,monday july 27 2015,2015-07-27
